geoid20_x,FIPS,ShapeSTArea,ShapeSTLength,pop_below_100_pct,pop_below_200_pct,chd_pct,total_pop,snap_rate,Age Total population,Under 18 years,Percent Under 18 years,0-19 years,20 to 44 years,45 to 64 years,65 years and over,Percent 65 years and over,85 years and over,Hispanic or Latino,Percent Hispanic or Latino,Not Hispanic or Latino,geoid20_y
107020,6037107020,10697864.21,14666.26881,15.523528,39.051918,3.6917274,5337,1.8737118,4610,1461,31.7,1625,1297,1167,521,11.3,54,4044,87.7,566,107020
108102,6037108102,23504175.05,18955.33823,9.8192768,14.006024,5.3846154,3439,8.7234659,3596,743,20.7,824,904,1087,781,21.7,186,430,12,3166,108102
108204,6037108204,15420095.89,22338.87686,1.4791336,4.648706,3.708729,1831,16.384489,1780,450,25.3,469,426,592,293,16.5,4,89,5,1691,108204
109603,6037109603,10751114.56,13424.28434,19.300732,36.239075,5.2910051,4235,2.3612752,3900,845,21.7,980,1398,951,571,14.6,20,2796,71.7,1104,109603
109604,6037109604,12645174.25,14357.46959,9.160305,23.763691,4.696909,2812,32.005692,2900,544,18.8,608,1028,761,503,17.3,121,2073,71.5,827,109604
111201,6037111201,20587432.43,25205.24588,5.0390964,9.2962637,5.3961749,3462,14.442519,3256,635,19.5,697,1171,834,554,17,114,1529,47,1727,111201
111202,6037111202,20091110,20759.95879,4.6061049,12.173277,5.2933831,5749,8.6971645,5670,1016,17.9,1202,1674,1905,889,15.7,135,1614,28.5,4056,111202
111205,6037111205,12474960.66,14717.27033,5.0448141,16.875801,4.5030022,3761,5.3177347,3879,981,25.3,1051,1442,841,545,14.1,46,1167,30.1,2712,111205
111206,6037111206,28228463.08,24118.12397,3.2406344,9.606987,5.7902098,4361,9.1722078,4363,892,20.4,953,1040,1356,1014,23.2,124,826,18.9,3537,111206
111302,6037111302,16712782.27,17844.48244,13.232403,31.49823,6.0967064,4895,4.0858016,4880,733,15,843,1961,1235,841,17.2,131,1292,26.5,3588,111302
111303,6037111303,16832231.59,18129.87006,6.2823968,34.107403,4.4048944,4975,16.080402,4712,1136,24.1,1307,1312,1475,618,13.1,107,1238,26.3,3474,111303
111304,6037111304,4708175.119,8773.516306,14.825582,33.539246,4.3720193,2987,10.043522,3106,408,13.1,502,1776,532,296,9.5,0,1524,49.1,1582,111304
111401,6037111401,9049528.946,12356.94058,4.164896,14.534636,5.7073469,2265,8.8300219,2293,509,22.2,509,830,559,395,17.2,33,770,33.6,1523,111401
111402,6037111402,10453334.45,13233.10289,21.490683,48.757763,5.7030225,6294,3.1776295,6146,1152,18.7,1165,2362,1487,1132,18.4,312,2622,42.7,3524,111402
113101,6037113101,24410142.12,21415.06566,8.2451258,21.532034,6.6902542,3580,2.7932961,3525,571,16.2,655,831,1049,990,28.1,224,640,18.2,2885,113101
113102,6037113102,39509556.78,24896.24298,4.2960291,7.3646212,5.8148432,2717,11.04159,2784,510,18.3,553,698,935,598,21.5,71,508,18.2,2276,113102
113212,6037113212,10747373.64,14207.1399,7.4022827,15.392598,5.2961674,3163,9.4846668,2888,519,18,619,940,736,593,20.5,79,882,30.5,2006,113212
113213,6037113213,14001134.39,16855.51373,4.6928792,15.999275,4.7047529,5176,1.9319938,5087,1050,20.6,1155,1635,1470,827,16.3,104,1657,32.6,3430,113213
113231,6037113231,44571715.75,42865.93669,5.1428571,11.076923,5.7127008,2230,4.4843049,2161,373,17.3,373,522,800,466,21.6,49,182,8.4,1979,113231
113232,6037113232,22234493.92,23602.8906,6.2937064,11.748252,5.7891707,4973,4.0217171,4596,678,14.8,694,1400,1568,934,20.3,91,920,20,3676,113232
113234,6037113234,11009759.11,16791.60773,12.172459,32.131573,5.2869663,5371,3.7237015,5653,1449,25.6,1667,1671,1506,809,14.3,72,3354,59.3,2299,113234
113237,6037113237,51094986.59,36475.00137,6.4175467,18.318439,5.7893167,5130,3.8986354,4725,918,19.4,980,1432,1310,1003,21.2,166,1343,28.4,3382,113237
113238,6037113238,7638426.461,10875.52835,10.628358,44.802616,4.8137069,4165,2.4009604,4547,1085,23.9,1257,1816,998,476,10.5,58,2619,57.6,1928,113238
113239,6037113239,4673877.34,9752.947394,13.376088,40.861198,4.8000002,2354,4.2480884,2343,396,16.9,486,864,572,421,18,120,1144,48.8,1199,113239
113301,6037113301,24263386.44,22624.96237,7.6161461,16.019295,6.4831581,4293,11.646867,4830,842,17.4,926,2017,1104,783,16.2,266,895,18.5,3935,113301
113303,6037113303,44083459.16,31068.55495,8.2948055,19.282022,5.81775,3899,7.6942806,3774,708,18.8,739,1069,1137,829,22,166,1102,29.2,2672,113303
113322,6037113322,19231486.85,20151.45383,6.5591397,21.849463,5.7963309,4405,4.5402951,4584,842,18.4,981,1196,1392,1015,22.1,216,1091,23.8,3493,113322
113323,6037113323,7791572.474,11024.00878,9.828742,28.543062,3.6903441,3884,5.1493306,3619,697,19.3,722,1700,804,393,10.9,18,1525,42.1,2094,113323
113324,6037113324,3492170.49,7928.50993,4.254571,13.255978,3.7151704,2931,3.4118049,2771,1016,36.7,1016,1167,432,156,5.6,5,1466,52.9,1305,113324
113423,6037113423,7649036.117,11075.11396,8.7172689,11.899238,5.2937379,3259,3.0684259,3077,875,28.4,1048,1007,727,295,9.6,29,1834,59.6,1243,113423
113424,6037113424,18739915.45,20657.89413,13.57846,27.996527,5.2978387,3256,15.356265,3346,659,19.7,703,1309,683,651,19.5,160,1511,45.2,1835,113424
113425,6037113425,3651865.333,7977.653944,13.319718,41.524845,4.0590405,4561,4.3850031,4499,1148,25.5,1397,1590,1317,195,4.3,3,3210,71.3,1289,113425
113426,6037113426,20084002.27,21380.91117,16.155758,24.440762,4.0062666,2412,8.2918739,2322,354,15.2,468,769,661,424,18.3,73,1160,50,1162,113426
113428,6037113428,13674399.85,15162.19132,9.8903713,28.026691,4.5009327,4026,7.4515648,4222,801,19,936,1520,1235,531,12.6,135,1660,39.3,2562,113428
